,State_FIPS_Code,County_FIPS_Code,CHSI_County_Name,CHSI_State_Name,CHSI_State_Abbr,Number_Counties,Population_Size,Population_Density,Poverty,Age_19_Under,Age_19_64,Age_65_84,Age_85_and_Over,White,Black,Native_American,Asian,Hispanic,ALE,All_Death,Health_Status,Unhealthy_Days,LBW,VLBW,Premature,Under_18_deaths,Over_40_deaths,Unmarried,Late_Care,Infant_Mortality,IM_Wh_Non_Hisp,IM_Bl_Non_Hisp,IM_Neonatal,IM_Postneonatal,Brst_Cancer,Col_Cancer,CHD,Homicide,Lung_Cancer,MVA,Stroke,Suicide,Injury,Total_Births,Total_Deaths,MOBD_Time_Span,Uninsured,Elderly_Medicare,Disabled_Medicare,Prim_Care_Phys_Rate,Dentist_Rate,No_HS_Diploma,Unemployed,Sev_Work_Disabled,Major_Depression,Recent_Drug_Use,Ecol_Rpt,Ecol_Rpt_Ind,Ecol_Exp,Salm_Rpt,Salm_Rpt_Ind,Salm_Exp,Shig_Rpt,Shig_Exp,Toxic_Chem,Diabetes,Smoker,Obesity
0,1,1,Autauga,Alabama,AL,37,48612,82,10.4,26.9,62.3,9.8,0.9,80.7,17.3,0.5,0.6,1.7,74.9,1041.5,21.8,7.5,8.1,1.6,14.3,5.1,1.4,28,12.9,5.9,4.2,13,3,3,34.1,15.9,172.4,6.7,65.3,27.3,73.9,16.6,23,3048,1867,1999-2003,5690,4762,1209,45.3,22.6,6690,774,1727,2680,2394,2,3,4,50,4,31,4,11,2883197,14.2,26.6,24.5
1,1,3,Baldwin,Alabama,AL,27,162586,102,10.2,23.5,60.3,14.5,1.8,88.4,9.9,0.5,0.4,2.3,76.6,856.9,15.4,6.7,8.6,1.9,15.3,4.3,1.9,25.4,15.3,7.1,5.7,13.5,5.7,1.5,22.5,15.3,156.5,5.4,62.1,25.1,48.7,14.3,30.1,5471,4388,2001-2003,19798,22635,3839,67,30.8,20254,2533,4933,9354,7753,2,3,4,99,4,67,41,13,35664,7.2,24.6,23.6
6,1,13,Butler,Alabama,AL,38,20766,27,20,25.6,58.5,13.6,2.4,57.5,41.9,0.2,0.3,0.9,73,1084.2,21.6,6.9,9.8,1.8,15.7,9,1.2,50.2,20.3,5.8,3.3,7.2,3.1,2.7,20.5,17.8,229,17.3,52.5,37.7,84.5,11.9,30.5,2874,2857,1994-2003,4055,3150,952,43.3,19.3,4363,537,976,1164,1029,0,3,0,23,3,39,5,17,98136,9.5,27.3,22
7,1,15,Calhoun,Alabama,AL,53,112141,184,16.4,24.1,61.6,12.7,1.5,78.3,19.7,0.4,0.8,2,73.1,1100.3,26.7,8,9,1.9,14.1,4.8,0.8,26.3,12.1,9.5,7.2,17.3,6.1,3.4,26.4,18.4,189.3,8.6,73.5,25.5,79.2,13.6,27.4,4429,3915,2001-2003,16456,16440,5301,75.8,41.9,19546,2182,5722,6400,5545,0,3,3,31,3,54,33,33,808521,11.2,25.5,27
10,1,21,Chilton,Alabama,AL,37,41744,60,14.9,25,62.6,11.3,1.2,88.3,10.5,0.3,0.4,3.7,74.1,1040.4,26,9.7,9.1,1.7,14.6,5.7,0.9,22.9,22.2,10.5,10.6,16.6,7.9,2.6,16.2,13.7,188.1,5.5,63.6,34.8,70.3,13.3,32.8,2671,2065,1999-2003,6130,4527,1307,31.1,19.2,9484,685,1887,2355,2009,0,3,2,13,3,28,0,8,20846,6,30,31.2
16,1,33,Colbert,Alabama,AL,44,54660,92,14,23,60.9,14,2,81.9,16.7,0.4,0.3,1.3,75.3,964.4,20.3,5.6,10.4,1.9,15.8,5.6,0.9,31.3,15.7,8.2,8,10.4,4.4,3.8,34.6,25.8,171.1,6.3,64.9,27.9,75.2,15.1,27.4,3166,3087,1999-2003,8141,8226,2302,60.4,31.1,10160,1203,2463,3162,2606,0,3,5,28,3,36,1,8,5860561,13.6,21.7,30.1
22,1,45,Dale,Alabama,AL,41,48748,87,15.8,27.7,59.4,11.8,1.2,75.5,20.9,0.5,1.3,3.2,75.5,987.4,23.9,5.8,8.4,1.6,14.1,4.1,0.9,28.1,12.6,7.9,7.5,7.9,5.3,2.6,19.3,20,195.9,4.2,72.3,24.5,56.7,10.8,24,3789,2259,1999-2003,7831,7809,2314,24.6,22.6,7021,828,1811,2655,2280,0,3,2,73,4,42,17,17,90996,12.1,29.3,25
23,1,47,Dallas,Alabama,AL,40,44366,45,25,29,57.4,12.1,1.5,32.4,66.9,0.1,0.3,0.6,72.1,1136,25.1,7,11.6,2.5,17.6,9.1,1.1,66.6,30.5,9.6,6.9,10.4,4.5,5,26.1,31.5,185.3,13.6,65.9,27.7,81.4,8.4,28.1,3767,2752,1999-2003,9242,6424,2302,101.4,38.3,8207,1260,2183,2378,2155,0,3,0,30,3,44,9,21,2011358,11.5,20.4,36.6
25,1,51,Elmore,Alabama,AL,37,73937,119,12.5,25.1,64,9.8,1.2,77.3,20.7,0.4,0.5,1.7,75.2,946.9,15.1,5.8,8.6,1.7,14.2,4.8,1.5,31,13.3,7.6,4.9,16.3,4.7,3,34.1,16.9,138.8,5.2,63.8,19,60.4,8.5,26.3,4707,2823,1999-2003,8320,7792,2167,33.8,16.2,10979,1091,2028,4170,3646,3,3,7,70,4,51,15,14,74339,5.5,22.6,24.8
26,1,53,Escambia,Alabama,AL,33,38082,40,18.6,24.4,61.4,12.5,1.7,64.3,31.7,2.9,0.3,1,73.2,1042.6,31.2,7.5,11.2,2.7,16.9,6,1.5,43,21.3,12.3,10,16.6,7.9,4.4,32.3,14.4,221.2,6.9,67.1,29.1,72,11,25.2,2519,2151,1999-2003,6490,5064,1476,57.8,26.3,8120,721,1763,2165,1834,1,4,0,51,4,38,25,21,2302304,11.4,26.1,33.7
27,1,55,Etowah,Alabama,AL,53,103189,193,15.7,24,60.3,13.9,1.8,83.8,14.6,0.3,0.5,2.4,73.5,1091.5,24.1,8,8.5,1.3,13.6,5.9,1,30.2,19.1,8.7,7.3,10.5,4.5,4.2,27.7,16.2,188.6,10.8,71.7,21.8,63.5,15.7,24.6,3810,4020,2001-2003,16180,15265,4508,72.7,42.6,18341,1982,4505,5897,4895,0,3,3,35,3,49,8,31,1619985,10.2,31.5,27.1
34,1,69,Houston,Alabama,AL,37,94249,162,15.3,25.9,60.2,12.1,1.8,72.2,25.9,0.4,0.7,1.6,75.7,905,21.9,6.9,8.6,2.1,13.1,5.2,1.1,36.9,18.1,8,6.9,10.4,5.1,2.9,29,16.8,152.8,5.4,61.3,22.9,55.8,7.6,19.1,6497,4329,1999-2003,14235,9901,2416,106.1,47.7,14840,1547,3259,5260,4426,6,3,4,162,4,76,44,36,166337,8.8,25,29.5
36,1,73,Jefferson,Alabama,AL,39,657229,591,14.4,25.2,61.4,11.7,1.7,56.8,41.2,0.2,1.1,2.3,73.6,1034.5,17.7,6.3,10.8,2.4,16,4.7,2,40.2,18.1,11.3,6.4,16.6,7.6,3.7,27.2,22,145.6,17,59.6,17.3,80.7,11.3,28.8,27118,21937,2001-2003,87428,89884,21625,154.9,71.5,83737,12866,25084,36995,31672,12,3,20,231,3,277,169,277,13881314,9.7,23.4,27.1
38,1,77,Lauderdale,Alabama,AL,44,87691,131,15.6,22.9,61.2,14.3,1.7,88.9,9.7,0.3,0.4,1.2,76.4,910.9,23.4,7.4,9.6,1.3,17.6,3.9,1.1,26.9,7.3,5.4,5.7,4.8,2.8,2.6,25.8,18.5,133.4,4,60.5,22.3,71.5,12.6,22.2,4995,4541,1999-2003,11424,13168,3134,58.2,49,14143,1922,3957,5087,4340,1,3,9,45,3,57,1,13,150351,6.7,21.1,23.8
40,1,81,Lee,Alabama,AL,28,123254,202,15.1,25.1,66.5,7.6,0.9,74.1,23,0.2,1.8,1.6,75.3,983.4,16.6,6.1,7.9,1.8,12.3,4.5,1.7,23.4,14.2,8.3,5.6,15.3,4.6,3.6,29,18,164.7,8.7,55.1,19.1,75.1,9.9,17.8,7131,3852,1999-2003,17335,9041,2465,63.3,26,12989,1982,3886,6997,7710,0,3,6,173,4,99,37,35,214408,7.8,27.1,21.7
44,1,89,Madison,Alabama,AL,25,298192,370,10.9,25.5,62.5,10.9,1.1,71.7,23.5,0.8,2.1,2.2,76.1,905.8,13.7,6.3,9.2,1.5,15.1,4,2.3,29.3,8.5,9.1,6.5,16.3,5.5,3.6,30.9,17,114.2,6,58.2,16.5,60,10.6,20.4,10693,6626,2001-2003,35743,32428,5431,95.2,46.6,28690,4944,9467,16746,14705,5,3,9,105,3,120,17,51,922380,6.5,21.3,23.1
48,1,97,Mobile,Alabama,AL,25,401427,326,18.5,27.6,60.3,10.8,1.3,62.2,34.5,0.7,1.6,1.3,73.5,1030.7,19.2,7,11.3,2.7,18.1,6,1.6,41.4,15,10,7.4,13.7,5.7,4.3,30.1,20.6,186.8,14.8,65.3,23.9,60.9,10.9,26.9,17569,11805,2001-2003,65687,47123,12197,95.4,38.4,59807,8140,9386,21921,19559,3,3,12,354,4,204,534,156,21502254,6.6,25.1,26.6
50,1,101,Montgomery,Alabama,AL,33,221619,281,18,27.3,60.9,10.3,1.5,45.1,52.5,0.2,1.2,1.4,74.6,974,16.3,6,10.4,2.3,15.9,5.5,1.4,47.9,17.7,9.5,6.1,11.6,6.6,2.9,28.9,18.6,171.6,13.7,59.6,19.1,56.2,10.2,19.4,9959,6207,2001-2003,32259,25495,6378,107.4,49.2,27476,4395,7028,12171,11178,4,4,13,186,4,127,76,120,525979,8.5,20.7,23.9
51,1,103,Morgan,Alabama,AL,40,113740,195,13.2,24.8,62,11.8,1.4,85.7,11.8,0.7,0.7,4.6,75.2,968.7,18.3,6.9,8.7,1.5,14.3,5.3,1.3,29,20,5.2,4.9,5.1,2.5,2.7,24.9,20.7,127.1,7.3,70.7,16.1,59.5,15.5,22.5,4421,3171,2001-2003,16097,14763,3367,76.5,41.3,18217,2266,4163,6428,5407,1,3,3,39,4,44,11,13,4780002,6.7,28.9,22.5
54,1,109,Pike,Alabama,AL,27,29639,44,20.3,25.4,62,11.4,1.2,60.2,36.8,0.6,1,1.6,73.7,1112.5,22,6.7,9.3,2,16.7,6.8,1,47.9,23.1,9.1,4.6,14.7,5.8,3.4,23.5,24.9,173.3,10.2,48.4,31.4,67.9,11.9,18.8,2078,1603,1999-2003,5696,3917,1180,57.4,27,5590,545,1040,1668,1638,0,3,1,51,4,24,7,18,3133084,11.3,16.5,29.1
56,1,113,Russell,Alabama,AL,54,49326,77,18.6,26.3,60.1,12.2,1.4,56.1,42.1,0.3,0.6,2.1,72.1,1144.3,25.4,7.5,10.3,2.6,14.7,6.2,0.9,41.6,24.2,12.9,10.4,17.3,9.1,3.8,29.6,25.9,111.8,14.2,75.4,24.2,73.7,12.3,18.8,3406,2837,1999-2003,8785,6799,1851,32.4,16.2,11013,1111,1938,2738,2332,0,3,0,48,4,49,27,25,2399555,9.7,22,28.9
58,1,117,Shelby,Alabama,AL,44,171465,216,6.9,26.2,65.1,8,0.7,88.2,9.4,0.3,1.4,3.1,76.8,923.4,9.9,6.1,7.1,1.6,12.7,2,2.1,12.5,12,6.4,4.9,17,4.1,2.3,25.1,17.8,146.8,3,52.6,17.8,67.1,8.1,24.9,7311,2886,2001-2003,13249,10635,2661,95.6,28,14846,2373,5133,9515,8223,1,3,9,40,3,56,8,19,7440897,4.8,21,20.8
60,1,121,Talladega,Alabama,AL,54,80457,109,16.8,24.9,61.7,12,1.4,67.5,31.4,0.2,0.4,1.1,73.3,1090.6,24.6,8.4,11.4,2.1,16.6,6.9,0.8,42.2,22.1,10,8.5,13.1,5.5,4.4,26,20.1,154.1,9.4,63.6,29.8,84.3,9.6,26.6,5411,4456,1999-2003,12378,10035,4300,38.5,21.1,16423,1723,4701,4547,3867,0,3,0,29,3,80,7,40,1344808,10.9,24.1,32.7
61,1,123,Tallapoosa,Alabama,AL,35,40717,57,16,23.6,59.8,14.6,2,72.9,26.3,0.2,0.2,0.9,73.9,1046.3,21.5,7.4,10.6,2.2,16.3,6.5,1.2,41,13.5,7.9,2.5,17.1,6,2,30.8,19.5,177.4,11.9,65.7,24.8,71.7,15.1,26.6,2521,2715,1999-2003,6488,5808,1749,61.4,34.4,8472,754,1816,2338,1906,0,3,2,26,3,27,16,8,66626,5.6,29.4,23.2
62,1,125,Tuscaloosa,Alabama,AL,53,168908,128,16.5,25,63.9,9.9,1.2,67.7,30.1,0.2,1.1,1.6,75,1026.2,17.9,6.9,10.9,2.3,17.8,4.1,1.6,34.3,15.8,12.9,7.4,23,9.7,3.2,24.7,19.4,161.6,5.2,68.2,18.2,70.5,11.9,25,6587,4532,2001-2003,23311,17734,5539,97.7,32,22290,2786,6263,9557,9241,6,4,5,123,4,80,83,50,6160225,7.9,23.8,25.3
63,1,127,Walker,Alabama,AL,35,70117,88,14.8,23.6,61,13.7,1.6,92.5,6.4,0.3,0.2,1.2,72.2,1191.7,27.3,9.5,8.5,1.8,12.6,5.6,0.9,21,11.6,12.1,10.9,24.5,5.9,6.2,22.8,18.3,206.2,7.3,78.3,41.6,64.2,17.8,32.4,4542,4687,1999-2003,10818,10991,3880,45.6,29.9,15989,1212,4106,4022,3280,0,3,4,57,4,49,8,25,6492544,11.5,33.8,30.5
101,4,13,Maricopa,Arizona,AZ,34,3635528,395,12.8,28.6,60.3,9.7,1.4,89,4.3,2.2,2.9,28.7,77.8,780.8,14.4,5.6,6.8,1.1,12.8,4.5,2,38.6,20.7,6.4,6,13.6,4.3,2.1,23.9,17.7,170.9,9.7,47.2,16.4,47,14,26.2,171452,70409,2001-2003,537647,337774,52336,69.8,33.5,401456,74246,55889,195126,197150,72,3,99,1161,3,889,975,494,1872997,6.3,19.9,19.9
104,4,19,Pima,Arizona,AZ,39,924786,101,14.3,26,59.6,12.5,1.9,88.7,3.4,3.6,2.6,31.6,77.3,809,13.7,6,7.4,1.1,12.2,4.9,2.1,42.5,28.5,7,5.6,17.7,4.6,2.5,22.7,18.2,146.7,8.6,47.2,15.7,48.1,16.2,33,37459,23024,2001-2003,149746,115794,18764,93.1,38.2,99444,19949,18572,51475,52043,18,3,26,489,4,368,384,368,4047227,6.6,18.7,19.7
109,5,1,Arkansas,Arkansas,AR,37,20073,20,17.3,24.9,59.5,13.8,1.8,74.6,24.5,0.1,0.4,1.1,73.4,1080.5,24.9,7.8,10.7,1.9,15.5,7.2,0.9,39.1,27.7,6.2,5,8,2.9,3.3,27.9,29.9,263.9,11.4,80.2,33,90.8,14.2,23.9,2703,2770,1994-2003,2858,3188,653,59.8,24.9,3754,765,494,1289,1095,0,3,2,55,4,35,9,12,623173,7.8,29.2,30.7
110,5,3,Ashley,Arkansas,AR,34,23178,25,17.8,25.9,60.2,12,1.9,71.3,27.8,0.1,0.3,3.8,72.6,1076.7,18.5,8.2,9,1.5,13.8,9.2,0.6,37.7,20.8,10.3,10.1,11.5,4.8,5.5,31,20.1,276.2,8.7,75.2,33,106.8,13.5,22.9,3264,2809,1994-2003,3783,3354,909,60.4,34.5,4234,784,727,1468,1278,0,3,0,44,4,41,6,15,1614518,7.7,29.7,30.2
123,5,29,Conway,Arkansas,AR,57,20739,37,16.5,25.1,59.3,13.5,2.1,85.5,12.5,0.5,0.5,2.4,75.2,949.3,23.3,6.7,7.8,1.4,11.3,6.6,0.7,30.8,18.1,8.3,6.4,21.1,4.8,3.5,23.2,18.4,186.7,10,60.1,30.1,97.2,14.7,20,2515,2325,1994-2003,3085,3639,1143,72.3,19.3,3729,470,745,1328,1148,0,3,4,49,4,28,1,12,623756,4.9,32.2,26.5
124,5,31,Craighead,Arkansas,AR,28,86735,122,15.9,25.8,62.5,10.3,1.4,88.3,9.7,0.4,0.7,3.1,75.3,997.6,20.6,7.2,7.8,1.4,12.6,4.3,1.1,31.7,24.4,9.4,9.3,11.5,6,3.4,25.9,21.6,209.5,5,66.5,19.6,101.6,12.2,22.4,5956,3909,1999-2003,11601,9544,2461,121.1,40.4,12563,2021,2813,5507,5147,2,3,4,204,4,71,31,25,96088,6.2,25.1,29.1
